"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD","TARGET_FLAG_Full","TARGET_FLAG_Transform_Model","TARGET_FLAG_Transform_Model_Step","TARGET_AMT_Full","TARGET_AMT_Full_Flag1","TARGET_AMT_Step","TARGET_AMT_Step_Flag1","TARGET_AMT_Xmodel","TARGET_AMT_xModel_onlyFlag1"
"1","0",NA,0,48,0,11,52881,"No",0,"z_No","M","Bachelors","Manager",26,"Private",21970,1,"Van","yes",0,0,"No",2,10,"Highly_Urban/ Urban",123.714826110216,0,100.365315983307,0,"0",0,0,194.120573311736,5648.10321835038,384.68645517423,6942.95993621662,194.120573311736,5648.10321835038
"2","0",NA,1,40,1,11,50815,"Yes",0,"z_No","M","z_High_School","Manager",21,"Private",18930,6,"Minivan","no",3295,1,"No",2,1,"Highly_Urban/ Urban",121.549849361502,0,93.7057914324091,8.10046489102936,"0",0,0,124.705928547161,5610.8535809796,425.195390755464,7127.85717742457,124.705928547161,5610.8535809796
"3","0",NA,0,44,2,12,43486,"Yes",0,"z_No","z_F","z_High_School","z_Blue_Collar",30,"Commercial",5900,10,"z_SUV","no",0,0,"No",0,10,"z_Highly_Rural/ Rural",113.445901724375,0,54.7473090316058,0,"0",0,0,-357.438716520221,4428.10047707757,-427.832242650355,4103.68510398695,-357.438716520221,4428.10047707757
"4","0",NA,0,35,2,10.3790913531998,21204,"Yes",0,"z_No","M","z_High_School","Clerical",74,"Private",9230,6,"Pickup","no",0,0,"Yes",0,4,"z_Highly_Rural/ Rural",82.528335014412,0,67.2911552295528,0,"0",0,0,-430.930375479773,4198.25158895986,-342.897745509257,4912.86605177056,-430.930375479773,4198.25158895986
"5","0",NA,0,59,0,12,87460,"No",0,"z_No","M","z_High_School","Manager",45,"Private",15420,1,"Minivan","yes",44857,2,"No",4,1,"Highly_Urban/ Urban",154.604309891739,0,85.2524554192839,10.7112572239328,"0",0,0,266.03736931346,6490.48419617317,399.089367057124,7024.11060371094,266.03736931346,6490.48419617317
"6","0",NA,0,46,0,14,51778,"No",207519,"Yes","M","Bachelors","Professional",7,"Commercial",25660,1,"Panel_Truck","no",2119,1,"No",2,12,"Highly_Urban/ Urban",122.564967707252,3.48610049354255,107.812053114935,7.65917136766606,"0",0,0,445.754689125804,7303.89423580624,385.165010808229,6944.41763267966,445.754689125804,7303.89423580624
"7","0",NA,0,60,0,12,37940,"No",182739,"Yes","z_F","z_High_School","z_Blue_Collar",16,"Commercial",11290,1,"Sports_Car","no",0,0,"No",0,1,"Highly_Urban/ Urban",106.792343177946,3.44117522011712,73.8400372706499,0,"0",0,0,87.1666591008377,6038.78459704671,-145.845480221979,5169.33681497588,87.1666591008377,6038.78459704671
"8","0",NA,0,54,0,12,33212,"No",158432,"Yes","M","<High_School","z_Blue_Collar",27,"Commercial",24000,4,"Panel_Truck","no",0,0,"No",5,8.18339960238569,"Highly_Urban/ Urban",100.677795626177,3.39143873625464,104.538769165454,0,"0",0,0,718.73351019984,7690.47092414353,540.460497382549,7371.39842998839,718.73351019984,7690.47092414353
"9","0",NA,2,36,2,12,130540,"Yes",344195,"z_No","z_F","Bachelors","z_Blue_Collar",5,"Commercial",27200,4,"Minivan","no",0,0,"No",0,9,"z_Highly_Rural/ Rural",184.618160107999,3.67074372314443,110.748095047466,0,"0",0,0,256.56589948702,6546.83901689346,355.351430727704,7321.35350854761,256.56589948702,6546.83901689346
"10","0",NA,0,50,0,8,167469,"No",0,"z_No","z_F","PhD","Doctor",22,"Private",34150,4,"Sports_Car","no",0,0,"No",3,1,"Highly_Urban/ Urban",206.159309614163,0,122.996602835142,0,"0",0,0,652.16994081071,7515.06210479831,506.563350598112,7885.18511705424,652.16994081071,7515.06210479831
