"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD","HSDropout","Bachelors","Masters","PhD","Panel_Truck","Pickup","Sports_Car","Van","SUV","Professional","Blue_Collar","Clerical","Doctor","Lawyer","Manager","Home_Maker","Student"
"1","0",0,0,48,0,11,52881,0,0,0,1,"Bachelors","Manager",26,0,21970,1,"Van",0,0,0,0,2,10,0,110.965698800786,0,100.365315983307,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"2","0",0,1,40,1,11,50815,1,0,0,1,"z_High_School","Manager",21,0,18930,6,"Minivan",0,3295,1,0,2,1,0,109.067285810676,0,93.7057914324091,8.10046489102936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3","0",0,0,44,2,12,43486,1,0,0,0,"z_High_School","z_Blue_Collar",30,1,5900,10,"z_SUV",0,0,0,0,0,10,0,101.954245920743,0,54.7473090316058,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4","0",0,0,35,2,10.3790913531998,21204,1,0,0,1,"z_High_School","Clerical",74,0,9230,6,"Pickup",0,0,0,1,0,4,0,74.7031483526638,0,67.2911552295528,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"5","0",0,0,59,0,12,87460,0,0,0,1,"z_High_School","Manager",45,0,15420,1,"Minivan",0,44857,2,0,4,1,0,137.975984577261,0,85.2524554192839,10.7112572239328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6","0",0,0,46,0,14,60324.2653769841,0,207519,1,1,"Bachelors","Professional",7,1,25660,1,"Panel_Truck",0,2119,1,0,2,12,0,117.477055900394,3.48610049354255,107.812053114935,7.65917136766606,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"7","0",0,0,60,0,12,37940,0,182739,1,0,"z_High_School","z_Blue_Collar",16,1,11290,1,"Sports_Car",0,0,0,0,0,1,0,96.1056991348614,3.44117522011712,73.8400372706499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","0",0,0,54,0,12,33212,0,158432,1,1,"<High_School","z_Blue_Collar",27,1,24000,4,"Panel_Truck",0,0,0,0,5,8.18339960238569,0,90.7236987153667,3.39143873625464,104.538769165454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","0",0,2,36,2,12,130540,1,344195,0,0,"Bachelors","z_Blue_Collar",5,1,27200,4,"Minivan",0,0,0,0,0,9,0,164.10317452254,3.67074372314443,110.748095047466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","0",0,0,50,0,8,167469,0,0,0,0,"PhD","Doctor",22,0,34150,4,"Sports_Car",0,0,0,0,3,1,0,182.794703108011,0,122.996602835142,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"11","0",0,0,42,0,10.3790913531998,52988,0,176275,1,1,"z_High_School","z_Blue_Collar",24,1,23450,1,"Minivan",0,0,0,0,2,11,0,111.062864242986,3.42855762954297,103.427458380305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","0",0,0,41,2,7,17755,1,148815,0,0,"<High_School","Clerical",29,0,14480,1,"Minivan",0,0,0,1,2,1,0,69.1760648310992,3.36984530139722,82.8160108124431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13","0",0,1,37,2,13,60324.2653769841,1,0,0,0,"z_High_School","z_Blue_Collar",62,1,9360,4,"Sports_Car",0,0,0,0,0,8.18339960238569,0,117.477055900394,0,67.7264272892951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","0",0,0,36,3,12,56048,0,137836,1,1,"Masters","Lawyer",15,0,10700,6,"Minivan",0,2045,2,0,2,16,0,113.795878247989,3.34360519603602,72.0353916131479,7.62364194651157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
