"","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","HSDropout","Bachelors","Masters","PhD","Panel_Truck","Pickup","Sports_Car","Van","SUV","Professional","Blue_Collar","Clerical","Doctor","Lawyer","Manager","Home_Maker","Student","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD"
"1","0",0,0,60,0,11,67349,0,0,0,1,"PhD","Professional",14,0,14230,11,"Minivan",0,4461,2,0,3,18,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,137.705314109568,0,82.1537626470568,8.40335237499248
"2","0",0,0,43,0,11,91449,0,257252,0,1,"z_High_School","z_Blue_Collar",22,1,14940,1,"Minivan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.689319730071,3.56333450676774,84.0186357542543,0
"3","0",0,0,35,1,10,16039,0,124191,1,0,"z_High_School","Clerical",5,0,4010,4,"z_SUV",0,38690,2,0,3,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,72.9278715076271,3.30824140352993,45.8194166616521,10.5633622938325
"4","0",0,0,51,0,14,61898.0946086055,0,306251,1,1,"<High_School","z_Blue_Collar",32,0,15440,7,"Minivan",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.651765725913,3.62727018865071,85.3034121682317,0
"5","0",0,0,50,0,10.4992863630466,114986,0,243925,1,0,"PhD","Doctor",36,0,18000,1,"z_SUV",0,19217,2,1,3,17,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,174.528244428924,3.54405247786634,91.5546959836328,9.86360261883721
"6","1",2946,0,34,1,12,125301,1,0,0,0,"Bachelors","z_Blue_Collar",46,1,17430,1,"Sports_Car",0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.29835346835,0,90.2065546018754,0
"7","0",0,0,54,0,10.4992863630466,18755,0,154867.289723269,1,0,"<High_School","z_Blue_Collar",33,0,8780,1,"z_SUV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.1611357324574,3.38357563682182,65.7583597548433,0
"8","1",4021,1,37,2,10.4992863630466,107961,0,333680,1,1,"Bachelors","z_Blue_Collar",44,1,16970,1,"Van",0,2374,1,1,10,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.721646420623,3.65914549317663,89.1011540900567,7.77275271646874
"9","1",2501,0,34,0,10,62978,0,0,0,0,"Bachelors","Clerical",34,0,11200,1,"z_SUV",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,133.6720680202,0,73.5680946693333,0
"10","0",0,0,50,0,7,106952,0,0,0,1,"Bachelors","Professional",48,1,18510,7,"Van",0,0,0,0,1,17,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,169.017116134265,0,92.7415519244531,0
